Nome do Produto,Volume,Categoria,Venda em (un/pct),Estoque Atual,Fornecedor,Preço de Custo,Preço de Venda Atual (un.),Margem de Lucro (un.),Preço de Venda Atual (pct),Margem de Lucro (pct),Giro (Vende Rápido/Devagar)
Brahma ZERO ,350ml,Cerveja,"unidade, pacote (12un.)",8pc + 9un,Ambev,,"R$ 5,00",,"R$ 55,00",,Rapido
Amstel,269ml,Cerveja,"unidade, pacote (12un.)",27pc ,Ambev,,"R$ 3,50",,"R$ 36,00",,Devagar
Brahma Chopp,269ml,Cerveja,"unidade, pacote (15un.)",11pc,Ambev,,"R$ 4,00",,"R$ 45,00",,
Brahma Chopp,350ml,Cerveja,unidade,24un,Ambev,,"R$ 5,00",,-,,
Brahma Duplo Malte,350ml,Cerveja,"unidade, pacote (12un.)",9pc + 8un,Ambev,,"R$ 6,00",,"R$ 47,00",,
Brahma Duplo Malte,269ml,Cerveja,"unidade, pacote (15un.)",31pc + 10un,Ambev,,"R$ 4,00",,"R$ 45,00",,
Brahma Malzbier,Indisponivel,Indisponível,unidade,5un,Ambev,,"R$ 6,00",,-,,
Budweiser - Long Neck,330ml,Cerveja,"unidade, pacote (6un.)",61un,Ambev,,"R$ 7,00",,"R$ 42,00",,
Budweiser - Lata,269ml,Cerveja,"unidade, pacote (8un.)",31pc + 6un,Ambev,,"R$ 4,00",,"R$ 32,00",,
Budweiser ZERO - Long Neck - 330ml,Indisponivel,Indisponível,"unidade, pacote (6un.)",,Ambev,,"R$ 7,00",,"R$ 40,00",,
Budweiser ZERO - Lata,330ml,Cerveja,unidade,8un,Ambev,,"R$ 8,00",,"R$ 48,00",,
Burguesa,269ml,Cerveja,"unidade, pacote (12un.)",10pc + 7un,,,"R$ 3,00",,"R$ 30,00",,
Colorado - Appia - 350ml,Indisponivel,Indisponível,unidade,,Ambev,,"R$ 8,00",,"R$ 8,00",,
Corona ZERO - Long Neck,330ml,Cerveja,"unidade, pacote (6un.)",66un,Ambev,,"R$ 9,00",,"R$ 50,00",,
Corona - Long Neck,330ml,Cerveja,"unidade, pacote (6un.)",29un,Ambev,,"R$ 9,00",,"R$ 50,00",,
Coronita - Long Neck,210ml,Cerveja,"unidade, pacote (6un.)",86un,Ambev,,"R$ 7,00",,"R$ 40,00",,
Corona - Lata - 269ml,Indisponivel,Indisponível,unidade,,Ambev,,"R$ 6,00",,-,,
Eisenbahn - Lata,269ml,Cerveja,"unidade, pacote (12un.)",37pc + 9un,Coca Cola,,"R$ 4,00",,"R$ 42,00",,
Eisenbahn - Lata,350ml,Cerveja,"unidade, pacote (12un.)",42pc +11un,Coca Cola,,"R$ 6,00",,"R$ 50,00",,
Heineken - Long Neck,330ml,Cerveja,"unidade, pacote (6un.)",274un,Heineken,"R$ 5,99","R$ 8,00","33,56%","R$ 46,00",,
Heineken - Lata,269ml,Cerveja,"unidade, pacote (8un.)",43pc + 6un,Heineken,"R$ 3,74","R$ 5,00","33,69%","R$ 36,00",,
Heineken - Lata,350ml,Cerveja,"unidade, pacote (12un.)",25pc + 11un,Heineken,"R$ 4,94","R$ 6,00","21,46%","R$ 65,00",,
Heineken ZERO - Lata,269ml,Cerveja,"unidade, pacote (8un.)",15pc + 2un,Heineken,"R$ 3,74","R$ 6,00","60,43%","R$ 38,00",,
Heineken ZERO - Long,330ml,Cerveja,"unidade, pacote (6un.)",65un,Heineken,"R$ 5,99","R$ 8,00","33,56%","R$ 48,00",,
Heineken ZERO - Lata,350ml,Cerveja,"unidade, pacote (12un.)",9pc + 6un,Heineken,"R$ 4,94","R$ 7,00","41,70%","R$ 68,00",,
Império,269ml,Cerveja,"pacote (15un.), unidade",19pc + 3un,,,"R$ 3,50",,"R$ 45,00",,
Império,269ml,Cerveja,"pacote (12un.), unidade",9pc + 9un,,,"R$ 3,50",,"R$ 35,00",,
Itaipava,269ml,Cerveja,"unidade, pacote (12un.)",47pc + 11un,Itaipava,,"R$ 3,50",,"R$ 32,00",,
Itaipava ,350ml,Cerveja,"unidade, pacote (12un.)",19pc + 9un,Itaipava,,"R$ 4,00",,"R$ 36,00",,
Itaipava ZERO,350ml,Cerveja,unidade,13un,Itaipava,,"R$ 5,00",,-,,
Original,269ml,Cerveja,"pacote (8un.), unidade",34pc + 8un,Ambev,,"R$ 4,00",,"R$ 32,00",,
