"Lines","FullName"
"7272","D:\1. LUCCAS\aplicativos ai\adega\solid-foundation-adega-manager\src\pages\DesignSystemPage.tsx"
"4094","D:\1. LUCCAS\aplicativos ai\adega\solid-foundation-adega-manager\src\core\api\supabase\supabase.ts"
"2332","D:\1. LUCCAS\aplicativos ai\adega\solid-foundation-adega-manager\src\core\types\supabase.ts"
"2282","D:\1. LUCCAS\aplicativos ai\adega\solid-foundation-adega-manager\src\core\api\supabase\types.ts"
"979","D:\1. LUCCAS\aplicativos ai\adega\solid-foundation-adega-manager\src\core\types\database.types.ts"
"812","D:\1. LUCCAS\aplicativos ai\adega\solid-foundation-adega-manager\src\features\customers\components\__tests__\CustomerTable.behavioral.test.tsx"
"775","D:\1. LUCCAS\aplicativos ai\adega\solid-foundation-adega-manager\src\shared\hooks\business\useCustomerActionsSSoT.ts"
"752","D:\1. LUCCAS\aplicativos ai\adega\solid-foundation-adega-manager\src\core\config\theme-utils.ts"
"702","D:\1. LUCCAS\aplicativos ai\adega\solid-foundation-adega-manager\src\shared\hooks\business\useCustomerOverviewSSoT.ts"
"656","D:\1. LUCCAS\aplicativos ai\adega\solid-foundation-adega-manager\src\__tests__\integration\sales-workflow.integration.test.ts"
"655","D:\1. LUCCAS\aplicativos ai\adega\solid-foundation-adega-manager\src\core\types\design-tokens.ts"
"648","D:\1. LUCCAS\aplicativos ai\adega\solid-foundation-adega-manager\src\features\inventory\components\InventoryManagement.tsx"
"635","D:\1. LUCCAS\aplicativos ai\adega\solid-foundation-adega-manager\src\features\customers\components\CustomerOverviewTab.tsx"
"632","D:\1. LUCCAS\aplicativos ai\adega\solid-foundation-adega-manager\src\features\customers\components\CustomerDetailModal.tsx"
"624","D:\1. LUCCAS\aplicativos ai\adega\solid-foundation-adega-manager\src\__tests__\integration\inventory-flows.integration.test.ts"
"623","D:\1. LUCCAS\aplicativos ai\adega\solid-foundation-adega-manager\src\features\customers\components\EditCustomerModal.tsx"
